Coarse-Grained Algorithm:

Number of distinct colours used: 71

timetaken in microseconds= 179909μs
timetaken in milliseconds= 179.909milli seconds

Assigned colours:
vertex-285 colour-22
vertex-286 colour-30
vertex-287 colour-33
vertex-288 colour-37
vertex-289 colour-9
vertex-290 colour-35
vertex-291 colour-16
vertex-292 colour-5
vertex-293 colour-26
vertex-294 colour-19
vertex-295 colour-26
vertex-296 colour-9
vertex-297 colour-5
vertex-298 colour-22
vertex-299 colour-36
vertex-300 colour-18
vertex-301 colour-6
vertex-302 colour-36
vertex-303 colour-19
vertex-304 colour-13
vertex-305 colour-33
vertex-306 colour-2
vertex-307 colour-23
vertex-308 colour-29
vertex-309 colour-28
vertex-310 colour-37
vertex-311 colour-36
vertex-312 colour-25
vertex-313 colour-37
vertex-314 colour-19
vertex-315 colour-46
vertex-316 colour-1
vertex-317 colour-34
vertex-318 colour-12
vertex-319 colour-20
vertex-320 colour-1
vertex-321 colour-24
vertex-322 colour-30
vertex-323 colour-44
vertex-324 colour-30
vertex-325 colour-26
vertex-326 colour-37
vertex-327 colour-44
vertex-328 colour-30
vertex-329 colour-17
vertex-330 colour-42
vertex-331 colour-35
vertex-332 colour-15
vertex-333 colour-7
vertex-334 colour-28
vertex-335 colour-34
vertex-336 colour-30
vertex-337 colour-10
vertex-338 colour-38
vertex-339 colour-49
vertex-340 colour-14
vertex-341 colour-50
vertex-342 colour-10
vertex-343 colour-26
vertex-344 colour-40
vertex-345 colour-3
vertex-346 colour-8
vertex-347 colour-24
vertex-348 colour-45
vertex-349 colour-36
vertex-350 colour-34
vertex-351 colour-22
vertex-352 colour-46
vertex-353 colour-11
vertex-354 colour-4
vertex-355 colour-30
vertex-356 colour-36
vertex-357 colour-29
vertex-358 colour-30
vertex-359 colour-7
vertex-360 colour-41
vertex-361 colour-37
vertex-362 colour-38
vertex-363 colour-3
vertex-364 colour-43
vertex-365 colour-31
vertex-366 colour-23
vertex-367 colour-11
vertex-368 colour-13
vertex-369 colour-4
vertex-370 colour-45
vertex-371 colour-7
vertex-372 colour-49
vertex-373 colour-34
vertex-374 colour-44
vertex-375 colour-11
vertex-376 colour-51
vertex-377 colour-7
vertex-378 colour-41
vertex-379 colour-38
vertex-380 colour-27
vertex-381 colour-26
vertex-382 colour-11
vertex-383 colour-8
vertex-384 colour-51
vertex-385 colour-21
vertex-386 colour-38
vertex-387 colour-38
vertex-388 colour-13
vertex-389 colour-13
vertex-390 colour-48
vertex-391 colour-20
vertex-392 colour-40
vertex-393 colour-39
vertex-394 colour-42
vertex-395 colour-2
vertex-396 colour-11
vertex-397 colour-24
vertex-398 colour-9
vertex-399 colour-11
vertex-400 colour-52
vertex-401 colour-46
vertex-402 colour-5
vertex-403 colour-33
vertex-404 colour-12
vertex-405 colour-38
vertex-406 colour-33
vertex-407 colour-9
vertex-408 colour-29
vertex-409 colour-45
vertex-410 colour-43
vertex-411 colour-10
vertex-412 colour-31
vertex-413 colour-39
vertex-414 colour-32
vertex-415 colour-1
vertex-416 colour-40
vertex-417 colour-9
vertex-418 colour-39
vertex-419 colour-8
vertex-420 colour-45
vertex-421 colour-26
vertex-422 colour-32
vertex-423 colour-33
vertex-424 colour-37
vertex-425 colour-31
vertex-426 colour-11
vertex-427 colour-20
vertex-428 colour-2
vertex-429 colour-15
vertex-430 colour-27
vertex-431 colour-26
vertex-432 colour-6
vertex-433 colour-26
vertex-434 colour-31
vertex-435 colour-33
vertex-436 colour-16
vertex-437 colour-19
vertex-438 colour-31
vertex-439 colour-12
vertex-440 colour-11
vertex-441 colour-8
vertex-442 colour-23
vertex-443 colour-45
vertex-444 colour-12
vertex-445 colour-39
vertex-446 colour-35
vertex-447 colour-41
vertex-448 colour-23
vertex-449 colour-14
vertex-450 colour-28
vertex-451 colour-52
vertex-452 colour-22
vertex-453 colour-32
vertex-454 colour-30
vertex-455 colour-29
vertex-456 colour-26
vertex-457 colour-40
vertex-458 colour-47
vertex-459 colour-31
vertex-460 colour-8
vertex-461 colour-40
vertex-462 colour-30
vertex-463 colour-12
vertex-464 colour-28
vertex-465 colour-21
vertex-466 colour-10
vertex-467 colour-28
vertex-468 colour-16
vertex-469 colour-56
vertex-470 colour-25
vertex-471 colour-35
vertex-472 colour-56
vertex-473 colour-13
vertex-474 colour-43
vertex-475 colour-51
vertex-476 colour-36
vertex-477 colour-57
vertex-478 colour-60
vertex-479 colour-10
vertex-480 colour-36
vertex-481 colour-58
vertex-482 colour-39
vertex-483 colour-55
vertex-484 colour-9
vertex-485 colour-7
vertex-486 colour-36
vertex-487 colour-41
vertex-488 colour-40
vertex-489 colour-35
vertex-490 colour-40
vertex-491 colour-5
vertex-492 colour-59
vertex-493 colour-12
vertex-494 colour-45
vertex-495 colour-55
vertex-496 colour-41
vertex-497 colour-23
vertex-498 colour-29
vertex-499 colour-41
vertex-500 colour-9
vertex-501 colour-11
vertex-502 colour-23
vertex-503 colour-9
vertex-504 colour-13
vertex-505 colour-57
vertex-506 colour-6
