fine-grained algorithm:

Number of distinct colours used: 160

timetaken in microseconds= 998432μs
timetaken in milliseconds= 998.432milli seconds

Assigned colours:
vertex-285 colour-41
vertex-286 colour-40
vertex-287 colour-71
vertex-288 colour-56
vertex-289 colour-57
vertex-290 colour-60
vertex-291 colour-42
vertex-292 colour-41
vertex-293 colour-35
vertex-294 colour-41
vertex-295 colour-7
vertex-296 colour-53
vertex-297 colour-76
vertex-298 colour-39
vertex-299 colour-64
vertex-300 colour-22
vertex-301 colour-36
vertex-302 colour-69
vertex-303 colour-42
vertex-304 colour-65
vertex-305 colour-80
vertex-306 colour-71
vertex-307 colour-66
vertex-308 colour-3
vertex-309 colour-72
vertex-310 colour-53
vertex-311 colour-38
vertex-312 colour-60
vertex-313 colour-81
vertex-314 colour-28
vertex-315 colour-67
vertex-316 colour-43
vertex-317 colour-79
vertex-318 colour-86
vertex-319 colour-65
vertex-320 colour-50
vertex-321 colour-52
vertex-322 colour-89
vertex-323 colour-24
vertex-324 colour-52
vertex-325 colour-63
vertex-326 colour-47
vertex-327 colour-40
vertex-328 colour-52
vertex-329 colour-84
vertex-330 colour-18
vertex-331 colour-85
vertex-332 colour-47
vertex-333 colour-32
vertex-334 colour-48
vertex-335 colour-90
vertex-336 colour-62
vertex-337 colour-11
vertex-338 colour-45
vertex-339 colour-65
vertex-340 colour-56
vertex-341 colour-62
vertex-342 colour-32
vertex-343 colour-50
vertex-344 colour-32
vertex-345 colour-51
vertex-346 colour-89
vertex-347 colour-73
vertex-348 colour-86
vertex-349 colour-51
vertex-350 colour-70
vertex-351 colour-21
vertex-352 colour-93
vertex-353 colour-72
vertex-354 colour-89
vertex-355 colour-43
vertex-356 colour-49
vertex-357 colour-54
vertex-358 colour-60
vertex-359 colour-58
vertex-360 colour-42
vertex-361 colour-88
vertex-362 colour-48
vertex-363 colour-40
vertex-364 colour-58
vertex-365 colour-29
vertex-366 colour-63
vertex-367 colour-90
vertex-368 colour-29
vertex-369 colour-63
vertex-370 colour-9
vertex-371 colour-59
vertex-372 colour-92
vertex-373 colour-69
vertex-374 colour-78
vertex-375 colour-16
vertex-376 colour-64
vertex-377 colour-64
vertex-378 colour-59
vertex-379 colour-74
vertex-380 colour-37
vertex-381 colour-27
vertex-382 colour-92
vertex-383 colour-49
vertex-384 colour-76
vertex-385 colour-68
vertex-386 colour-46
vertex-387 colour-71
vertex-388 colour-79
vertex-389 colour-22
vertex-390 colour-48
vertex-391 colour-63
vertex-392 colour-82
vertex-393 colour-57
vertex-394 colour-82
vertex-395 colour-84
vertex-396 colour-46
vertex-397 colour-73
vertex-398 colour-94
vertex-399 colour-85
vertex-400 colour-26
vertex-401 colour-88
vertex-402 colour-67
vertex-403 colour-53
vertex-404 colour-73
vertex-405 colour-88
vertex-406 colour-54
vertex-407 colour-77
vertex-408 colour-63
vertex-409 colour-68
vertex-410 colour-59
vertex-411 colour-90
vertex-412 colour-66
vertex-413 colour-58
vertex-414 colour-100
vertex-415 colour-97
vertex-416 colour-78
vertex-417 colour-10
vertex-418 colour-98
vertex-419 colour-78
vertex-420 colour-75
vertex-421 colour-58
vertex-422 colour-89
vertex-423 colour-78
vertex-424 colour-71
vertex-425 colour-92
vertex-426 colour-85
vertex-427 colour-76
vertex-428 colour-95
vertex-429 colour-96
vertex-430 colour-50
vertex-431 colour-61
vertex-432 colour-55
vertex-433 colour-46
vertex-434 colour-97
vertex-435 colour-99
vertex-436 colour-73
vertex-437 colour-76
vertex-438 colour-106
vertex-439 colour-106
vertex-440 colour-66
vertex-441 colour-78
vertex-442 colour-65
vertex-443 colour-92
vertex-444 colour-77
vertex-445 colour-17
vertex-446 colour-96
vertex-447 colour-67
vertex-448 colour-64
vertex-449 colour-56
vertex-450 colour-95
vertex-451 colour-70
vertex-452 colour-19
vertex-453 colour-78
vertex-454 colour-68
vertex-455 colour-8
vertex-456 colour-62
vertex-457 colour-70
vertex-458 colour-14
vertex-459 colour-54
vertex-460 colour-63
vertex-461 colour-61
vertex-462 colour-67
vertex-463 colour-101
vertex-464 colour-70
vertex-465 colour-42
vertex-466 colour-106
vertex-467 colour-65
vertex-468 colour-88
vertex-469 colour-6
vertex-470 colour-101
vertex-471 colour-112
vertex-472 colour-102
vertex-473 colour-104
vertex-474 colour-82
vertex-475 colour-66
vertex-476 colour-95
vertex-477 colour-35
vertex-478 colour-101
vertex-479 colour-114
vertex-480 colour-72
vertex-481 colour-63
vertex-482 colour-97
vertex-483 colour-68
vertex-484 colour-70
vertex-485 colour-85
vertex-486 colour-56
vertex-487 colour-70
vertex-488 colour-66
vertex-489 colour-77
vertex-490 colour-115
vertex-491 colour-71
vertex-492 colour-83
vertex-493 colour-102
vertex-494 colour-121
vertex-495 colour-75
vertex-496 colour-105
vertex-497 colour-13
vertex-498 colour-95
vertex-499 colour-84
vertex-500 colour-87
vertex-501 colour-72
vertex-502 colour-1
vertex-503 colour-102
vertex-504 colour-74
vertex-505 colour-1
vertex-506 colour-10
vertex-507 colour-123
vertex-508 colour-74
vertex-509 colour-44
vertex-510 colour-86
vertex-511 colour-74
vertex-512 colour-79
vertex-513 colour-57
vertex-514 colour-23
vertex-515 colour-82
vertex-516 colour-72
vertex-517 colour-83
vertex-518 colour-107
vertex-519 colour-79
vertex-520 colour-81
vertex-521 colour-50
vertex-522 colour-64
vertex-523 colour-80
vertex-524 colour-108
vertex-525 colour-76
vertex-526 colour-118
vertex-527 colour-113
vertex-528 colour-77
vertex-529 colour-91
vertex-530 colour-83
vertex-531 colour-90
vertex-532 colour-91
vertex-533 colour-92
vertex-534 colour-83
vertex-535 colour-115
vertex-536 colour-94
vertex-537 colour-76
vertex-538 colour-67
vertex-539 colour-110
vertex-540 colour-72
vertex-541 colour-104
vertex-542 colour-74
vertex-543 colour-96
vertex-544 colour-90
vertex-545 colour-111
vertex-546 colour-34
vertex-547 colour-97
vertex-548 colour-60
vertex-549 colour-47
vertex-550 colour-48
vertex-551 colour-13
vertex-552 colour-87
vertex-553 colour-82
vertex-554 colour-100
vertex-555 colour-98
vertex-556 colour-100
vertex-557 colour-102
vertex-558 colour-6
vertex-559 colour-38
vertex-560 colour-90
vertex-561 colour-29
vertex-562 colour-3
vertex-563 colour-52
vertex-564 colour-112
vertex-565 colour-105
vertex-566 colour-79
vertex-567 colour-87
vertex-568 colour-81
vertex-569 colour-93
vertex-570 colour-60
vertex-571 colour-42
vertex-572 colour-111
vertex-573 colour-58
vertex-574 colour-107
vertex-575 colour-69
vertex-576 colour-109
vertex-577 colour-117
vertex-578 colour-111
vertex-579 colour-109
vertex-580 colour-45
vertex-581 colour-124
vertex-582 colour-84
vertex-583 colour-115
vertex-584 colour-113
vertex-585 colour-91
vertex-586 colour-98
vertex-587 colour-120
vertex-588 colour-116
vertex-589 colour-117
vertex-590 colour-120
vertex-591 colour-115
vertex-592 colour-74
vertex-593 colour-89
vertex-594 colour-123
vertex-595 colour-121
vertex-596 colour-106
vertex-597 colour-117
vertex-598 colour-110
vertex-599 colour-110
vertex-600 colour-101
vertex-601 colour-49
vertex-602 colour-129
